id_branche_terroriste;libellé_branche_terroriste
419;Fidayeen-e-Islam
420;Fighters
421;First Army
422;Followers of Brooklyn Rivera
423;Followers of Zarqawi Group
424;Forces for National Liberation (FNL)
425;Forces for the Defense of Democracy (FDD)
426;Former Members
427;Former Members of Defunct Panama Defense Force
428;Former MNLF
429;Former RENAMO Guerrillas
430;Four Palestinian Guerrilla Groups
431;Free Salafi Group (GSL)
432;Freedom Fighters
433;Frente 10
434;Frente 13
435;Frente 13 Cacica Gaitana
436;Frente 15
437;Frente 16
438;Frente 17
439;Frente 21
440;Frente 24
441;Frente 24 Raúl Eduardo Maecha
442;Frente 28
443;Frente 29
444;Frente 30
445;Frente 33
446;Frente 33 (Resistencia Bari Company)
447;Frente 34 (Aurelio Arboleda Front)
448;Frente 36
449;Frente 41
450;Frente 45
451;Frente 47
452;Frente 48
453;Frente 5
454;Frente 51
455;Frente 53
456;Frente 55
457;Frente 58
458;Frente 59
459;Frente 6
460;Frente 60
461;Frente 7
462;Frente 8
463;Frente 9
464;Frente Angelino Godoy
465;Frente Diego Cristobal Uribe
466;From Puerto Quetzal Naval Base
467;From Surat Dhani 3 Working Area led by Huang Chaichumcho
468;Front 13
469;Front 15
470;Front 2
471;"Front 2; Pulang Bagani Company 6"
472;Front 30
473;Front 34
474;Front 4A
475;Front 53
476;"Front 53; Southern Mindanao Regional Command (SMRC)"
477;Front 6
478;Front 68
479;Front 71
480;Front 72
481;Front 72 Command
482;Front 88
483;Front Committee 16
484;Front Committee 18
485;Front Committee 52
486;Front Committee 6 (CPP-NPA North Central Mindanao Regional Committee)
487;Front Committee 74
488;Front Committee 83
489;Front Committee Kara
490;Fronts 72 & 74
491;Froylan Turcios Group
492;Fundamentalist
493;Fundamentalists
494;Gabriel Galvis Column
495;Gajraj Birat Tigers Group
496;Galikonda Area Committee of Maoists
497;Gang
498;Gerombolon Pangacau Keamanan
499;Ghana-backed
500;Ghazi Abdul Rasheed Group
501;Ghazi Rashid Brigade
502;GHQ
503;Gourgen Yanikian
504;Grandsons of the Prophet Brigade
505;Group of Sermons and Struggle
506;Gudrun Ensslin Commando
507;Guerilla Front 16A
508;Guerilla Front 3, Southern Mindanao Regional Committee
509;Guerilla Front 71
510;Guerrilla Army of the People
511;Guerrilla Cajamarca Front
512;Guerrilla Force 34 Southern Mindanao Revolutionary Committee
513;Guerrilla Front 16A
514;"Guerrilla Front 18 of Zapanta Command; 3rd Pulang Bagani Battalion; 8th Pulang Bagani Battalion"
515;Guerrilla Front 19A of Northeastern Mindanao Regional Command
516;Guerrilla Front 19B of Northeastern Mindanao Regional Command
517;Guerrilla Front 3
518;Guerrilla Front 51
519;Guerrilla Front 54
520;Guerrilla Front 55
521;Guerrilla Front 73
522;Guerrilla Front 75
523;Guerrilla Resistance
524;Guerrilla Resistance in support of FMLN
525;Guerrillas
526;Gunmen
527;Gunter Sonnenberg
528;Gustavo Palmezano Ojeda Front
529;Gustavo Palmezno Ojeda
530;Guwwat as-Saff al Mujahid
531;Hafizullah Group
532;Hakeemullah Mehsud group
533;Hamah Province of the Islamic State
534;Haqiqi Faction
535;Hector Front
536;Henchmen
537;Henry Abraham Command
538;Heroes and Martyrs Western War Front
539;Heroes de Anori Front
540;Heroes del Catatumbo Company
541;Hezen Parastina Gel
542;Hill Panther
543;Hind Alameh Fighting Cell
544;Hit Squads
545;Hizbul Shabaab
546;Holger Meins Commando
547;Homs Liberation Movement
548;Homs Province of the Islamic State
549;Hunt the Communists Vanguard
550;Ibad Errahmane Brigade
551;Indravati Area Committee Division
552;Insurgents
553;Intact Revolutionary Cell
554;Interahamwe Militia
555;Interahamwe Rebels
556;International Brigades
557;International Conspiracy for Revenge
558;Intifadat Ahrar al-Iraq
559;Iraultza
560;Iraultza-Aske (Free Revolution)
561;Irish Continuity Army
562;Irish Continuity Army Council (CAC)
563;Irish People's Liberation Army
564;Irish Republican Liberation Front
565;ISA
566;Islami Chhatra Shibir (ICS)
567;Islami Jama'at Talaba
568;Islamic Army for the Liberation of the Holy Sites
569;Islamic Emirate of Afghanistan
570;Islamic Jihad
571;Islamic Jihad for the Liberation of Palestine
572;Islamic Liberation Organization
573;Islamic Party
574;Islamic Resistance
575;Islamic Resistance Movement
576;Islamic Shiite Resistance in Iraq
577;Izz Al Din Al Qassam Brigades
578;Izz-al-Din al-Qassam Brigades
579;Jacobo Arenas
580;Jacobo Arenas Mobile Column
581;"Jacobo Arenas Mobile Column; 6th Hernando Gonzalez Acosta Front"
582;Jacobo Arenas Special Forces Unit
583;Jagargunda Area Committee
584;Jaime Tono Obando Company
585;Jair Aldana Baquero Front
586;Jaish al-Muhajireen wal-Ansar (Muhajireen Army)
587;Jaish al-Tahrir
588;Jamaat-Shibir
589;Jamaat-ul-Ahrar
590;Jamal Suleiman Dissident Faction
591;Janajuddha
592;Jandul Hafsa faction
593;Jangrez Group
594;Japanese Anarchist Group
595;Jatiyatabadi Chatra Dal
596;Jatiyatabadi Chhatra Dal (JCD)
597;Jatiyatabadi Swechchhasebak Dal
598;Jaya Krishna Goit faction
599;Jaysh al-Islam
600;Jaysh Ayman
601;Jerusalem Brigade
602;Jerusalem Brigades
603;Jewel
604;Jewel Garlossa
605;Jewel Gorlosa
606;Jewel Gorlosa faction of the Dima Halam Daogah [DHD]
607;Jhargram Squad
608;Jharkhand Freedom Front
609;Jharkhand Janmukti Parishad
610;Jharkhand Mukti Morcha Party
611;Jharkhand Prastuti Committee (JPC)
612;Jibril Ibrahim faction
613;Jihad Jibril
614;Jim Dragon Faction
615;Jose Antonio Galan Front
616;"Jose Antonio Galan Front; Dario Ramirez Castro War Front"
617;Jose David Suarez Front
618;Jose Domingo Lain Saenz Front
619;Jose Ignacio Mora Front
620;Jose Maria Becerra Front
621;Jose Rapsing Command
622;Juan Fernando Porras Martinez
623;Julito Tero Command
624;Jund al-Aqsa
625;Jund al-Sham for Tawhid and Jihad
626;June 78 Organization
627;Junejo
628;Junood-ul-Hifsa
629;"Jurado Mogollon Commission; Efrain Pabon Pabon Front"
630;Justice for Armenian Genocide
631;Justo Centeno Quiroz Brigade of Prolonged People's War Faction
632;Jwala Singh
633;Kabazimiya Faction
634;"Kalahandi Division; Kandhamal Division; Boudh Division; Nayagarh Division"
635;Kalinga Nagar-Ghumsar Division
636;Kalo Htoo Baw
637;Kangkai Amaran Unit
638;Kangleipak Fingang Lanmee (KFL)
639;Kanhu Munda Squad
640;Karen National Liberation Army
641;Kashipur-Niyamgiri Area Committee
642;Kasipur-Niyamgiri Division
643;Katibat El Ahoual
644;Katibate El Farouk
645;KGB
646;"Khalid Ibn Walid Brigade; Massina Brigade"
647;Khalil Akkawi Unit
648;Khalistan
649;Khalistan Reserve Force
650;Khammam District Committee
651;Khammam District Dalam
652;Khan Said Sajna
653;Khan Zaman Group
654;Khorasan Group
655;Khorasan Wing
656;"Kilusang Larangan Guerilla Baggas; Ilocos Cordillera Regional Committee"
657;Kirkuk Province of the Islamic State
658;Komala
659;Komiteng Rehiyon Sentral Bisayas-South East Front
660;Kongra-Gel
661;KONGRA-GEL [People's Congress of Kurdistan] Chairmanship Council
662;Koraput-Srikakulam Maoists Divisional Committee
663;Korukonda Area Committee
664;Kothaguda-Narsampet Badhru squad
665;Koyal Sankh Zone
666;Kundan Pahan
667;Kurdish Organization
668;Kurdistan Committee
669;Kurdistan Freedom Falcons
670;Kurdistan National Liberation Front (Military Wing)
671;Kurdistan People's Liberation Army (Military Wing)
672;Lal-Potaka faction
673;Land Owners
674;Lanleiba Faction
675;Larangang Guerilla 1
676;Lashkar Mujahideen Islam
677;Lashkar-e-Sajjad
678;Lautaro
679;Lautaro Group
680;Lautaro Guerrilla Group
681;Lautaro Popular and Revolutionary Forces
682;Lautaro Rebel and Popular Forces
683;Lautaro Rebel and Popular Movement
684;Lautaro Rebel Forces
685;Lautaro Rebel Group
686;Lautaro Youth Movement
687;Lawsohtun unit
688;Lebanese Communist Party
689;Lebanese Resistance Brigades
690;Lebanese Resistance Brigades (Saraya)
691;Leo Caulian Command-Kalinga
692;Leonardo Pacsi Command
693;Leonardo Panaligan Command
694;Les Issers brigade
695;Libardo Garcia Column
696;Libya branch
697;Linked to Contras
698;linked to ETA
699;Linked to Red Brigades
700;Lions of Fury
701;Liquidation Squad
702;Liwa al-Sultan Murad
703;"Liwa al-Sultan Murad; Central Division"
704;Liwa al-Tawhid
705;Los Rastrojos
706;Lost Command
707;Loyal to Pol Pot
708;Lucio de Guzman Command
709;Lucio Ramerez Front
710;Luis Jose Solano Sepulveda Front
711;Lybian-backed Tunisia Emigre
712;Mabala Faction
713;Machhkot Local Organization Squad
714;Machkot Local Operating Squad
715;Mafia
716;Mahar Mehsud group
717;Mahjoub Brigade
718;Mai Mai Janvier
719;Malajkhand Area Committee
720;Malakand chapter
721;Malakand Division
722;Malanger Area Committee
723;Malkangiri-Vishaka-Koraput Border Division
724;Manipur People’s Army (MPA)
725;Manipur Peoples Army
726;Manipur People's Army (MPA)
727;Manuel Cepeda Varga Urban Front
728;Manuel Hernandez El Boche Front
729;Manuelita Saenz Finance Company
730;Maoists of Andhra-Odisha Border Special Zonal Committee
731;Mara Casol Commando
732;Mardoqueo Guardado Front
733;Mario Velez Mobile Column
734;Mariscal Antonio Jose de Sucre Front
735;Martyr 'Abd-al-Jabir Zadah Group of the Islamic Resistance
736;Martyr Ayman Jidah Groups
737;Marwan Hadid Brigades
738;Mashashiya Tribe
739;Massina Brigade
740;Mast Gul Group
741;Mati-ul-Allah group (Qari Matiullah group)
742;Mauricio Morales Brigade
743;Meinhof Anti-Imperialist Group
744;Metropolitan Revenge Brigade
745;Metropolitan Revenge Team
746;Metropollitan Insurgents Cells
747;Migrant Workers
748;Militant Faction
749;Militant Group
750;Militant Separatists
751;Militant Women's Group
752;Militants
753;Military
754;Military Council
755;Militia
756;Miller Perdomo Front
757;Misrata Third Force
758;Misuari faction
759;MN Larma
760;Mob
761;Modesto Ramirez Central Front
762;Mohajir Qaumi Movement
763;Mohasir Tiger Force
764;Mohmand Chapter
765;Moises Wentla Group
766;Mojahedin of Temir-Khan-Shurinskiy (Buynaksk)
767;Mojahedin Unit
768;Mojahedin Unit, Commander Amir Muslimun
769;Mojahedin Unit, Lechi Dudayev subunit
770;Mojahedin Unit, Seyfulla Detachment
771;Mojahedin Unit, under the command of Abdul-Vakhid
772;MONAFIQIN
773;Mono Sergio Front
774;Mt. Kitanglad Sub-Regional Command
775;Mujahidin of the Islamic Emirate
776;Muktadil Faction
777;Mullah Khanak
778;Muslim Students (Pro-Khomeini)
779;Naeem Bukhari Group
780;Naga Army
781;Naga Students' Federation
782;Nagaland
783;Nampra Army
784;Namr Battalion
785;National Army
786;National Army for the Liberation of Uganda (NALU)
787;National Democratic Front
788;National Highway Squad
789;National Liberation Forces of Bengali
790;National Movement for the Restoration of Pakistan's Sovereignty
791;National Resistance Army (Armed Wing)
792;National Resistance Brigades
793;Nationalist Guerrillas
794;Nationalists
795;Naxals
796;Nehlun
797;New Mon State Insurgents
798;Nicaraguan Democratic Alliance
799;Nicaraguan Democratic Force
800;Nicaraguan Democratic Revolutionary Alliance
801;Niger Delta Youth Coalition
802;Nihilists Sect
803;Nikolai Kozitsyn Militia
804;Nineveh Province of the Islamic State
805;Noble Aleppo Brigade
806;Nona Del Rosario Command
807;Nongdrenkhomba
808;Norben Gruta Command
809;North America
810;North Central Mindanao Regional Command (NCMRC)
811;Northeastern Mindanao Party Committee (NEMPC)
812;Northeastern Mindanao Regional Command
813;Northern Division
814;Northern Negros Guerilla Front
815;Northern Storm Brigade
816;November 19 Anarchist Faction
817;Nuapada Division
818;October 3 Movement
819;Oglaigh na hEireann
820;Olga Cell
821;Omaira Montoya Henao Commission
822;Omar Torrijos Anti-Intervention Command
823;Opposition Group
824;Opposition Party
825;Opposition Party Activists
826;Orakzai Agency chapter
827;Orakzai Branch
828;Orange Order
829;Organization of the Oppressed on Earth
830;Oriental Bloc
831;Orthodox
832;Oum Kamakem katibat
833;Pakistan Malakand
834;Palestinian Eagles
835;Palestinian Islamic Jihad
836;Palestinian Liberation Army (military wing)
837;Panidobir Local Organization Squad
838;Pareco
839;Paresh Barua
840;Partisans of God
841;Patriotic Democratic Youth Movement (YDG-H)
842;Patriotic Front
843;Patriotic People's Movement
844;Patrol Vessel
845;Pattani United Liberation Front
846;Pedro Jose Chamorro Squadron
847;People Defence Forces (HPG)
848;People's Command
849;People's Committee against Police Atrocities (PCPA)
850;People's Defense Force (HPG)
851;People's Defense Forces (HPG)
852;People's Liberation Forces (FPL)
853;People's Liberation Front of India (PLFI)
854;People's Liberation Guerrilla Army
855;People's Military Organization
856;People's Patriotic Revolutionary Force
857;People's Revolutionary Army (ERP) (El Salvador)
858;People's Revolutionary Commandos of Proletarian Faction
859;People's Struggle
860;Peoples’ Patriotic Revolutionary Force
861;Perdo Altamirano Squad of combined Prolonged Popular War and Tercistas
862;Perfect Park Home Garden Society
863;Pistol Gang
864;PLUG
865;Pogla Union
866;Poirei Meitei
867;Policeman
868;Politics-Military Wing
869;Popular Liberation Front
870;Popular Resistance Militia
871;Popular Revolutionary Command
872;Popular Revolutionary Forces
873;Popular Revolutionary Front
874;Praja Pratighatana
875;Presidential Guard
876;Presidium
877;Presumed
878;Prizrak Battalion
879;Pro-Autonomy Faction
880;Proletarian Patrols for Communism
881;Pro-Libyan Group
882;Prolonged People's War (GPP) faction, Julio Avendana Command
883;Prolonged People's War Faction
884;Pro-Soviet Movement
885;Protesters
886;Provisional Irish Republican Army
887;Public Employees
888;Public Sector Workers
889;Pulang Bagani Company 3
890;Pulang Bagani Company 6
891;Puranthaba Meiraba faction
892;Qari Hussain Mehsud
893;Qari Zainuddin faction
894;Quaraysh Hawk Group
895;Rabha Viper Army
896;Racist Gang
897;Radicals
898;Rafael Aguilera Front
899;Rafael Blanco Front
900;Rahiya Mutomboki
901;Rambo Commando
902;Ranbir Singh
903;Ranjan Daimary Faction
904;Raqqah Province of the Islamic State
905;Reading Faction
906;Rebels
907;Red Army
908;Red Eagles
909;Red Guerrilla Resistance
910;Red Shirts
911;Red Spider Group
912;Regional Military Company II
913;Rejito
914;Renegades
915;Republican Extremists
916;Republican Gunmen
917;Resistencia
918;Resistencia Catatumbo Company
919;Resistencia Cimarron Front
920;Revolutionary Communist Centre (RCC)
921;Revolutionary Fighting Group
922;Revolutionary Justice Organization
923;Revolutionary Left
924;Revolutionary People's Front
925;Revolutionary Punishment Organization
926;Reynaldo Pinon Command
927;Ricardo Morales Aviles Squad and Mario Narvaes Column
928;Rightist Supporters
929;Rightists
930;Riot Police
931;Rival Faction
932;Rival MQM
933;Rival Resistance Group
934;Roki Dolo Group
935;"Ruiz-Bari Mobile Column; Resistencia Catatumbo Company"
936;Rwandan
937;Saharan Liberation Army (SLA)
938;Saladin Province of the Islamic State
939;"Saladin Province of the Islamic State; Kirkuk Province of the Islamic State"
940;Salaheddin Brigade
941;Salih Nabhan Brigade
942;Sam Melville and Jonathan Jackson Unit
943;Samir Qantar Group
944;Sangbojit faction
945;Sarhadi (border) squad
946;Sashastra People's Morcha
947;Saudi Hezbollah
948;Sea Tigers
949;Secessionists
950;Security Disturbance Movement
951;Self Defense Unit
952;Separatist Group
953;Separatist Guerrillas
